"Time","Event",""
"00:02.899","King Thordan casts  attack on Soft Enrage",""
"00:06.019","King Thordan casts  attack on Soft Enrage",""
"00:11.051","King Thordan casts  Ascalon's Mercy Concealed on King Thordan",""
"00:12.610","King Thordan 1 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 2 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 3 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 4 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 5 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 6 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 7 casts  Ascalon's Mercy Concealed",""
"00:12.610","King Thordan 8 casts  Ascalon's Mercy Concealed",""
"00:14.165","King Thordan casts  Ascalon's Might on Soft Enrage",""
"00:15.810","King Thordan casts  Ascalon's Might on Soft Enrage",""
"00:17.459","King Thordan casts  Ascalon's Might on Soft Enrage",""
"00:21.378","King Thordan casts  unknown_63c4",""
"00:22.488","King Thordan casts  Knights of the Round on King Thordan",""
"00:29.570","King Thordan casts  Strength of the Ward on King Thordan",""
"00:36.269","King Thordan 8 begins casting  Heavy Impact on King Thordan 8 (5.70 sec)",""
"00:41.948","King Thordan casts  Lightning Storm on King Thordan",""
"00:42.262","Ser Ignasse 1 casts  Spiral Thrust",""
"00:42.262","Ser Paulecrain 1 casts  Spiral Thrust",""
"00:42.262","Ser Vellguine 1 casts  Spiral Thrust",""
"00:42.262","Ser Guerrique casts  Heavy Impact",""
"00:42.441","King Thordan 9 casts  Lightning Storm on Cleon Vortigern",""
"00:42.441","King Thordan 1 casts  Lightning Storm on Soft Enrage",""
"00:42.441","King Thordan 2 casts  Lightning Storm on Alexor Cy",""
"00:42.441","King Thordan 3 casts  Lightning Storm on Eazy Peazy",""
"00:42.441","King Thordan 4 casts  Lightning Storm on Alex Sarudani",""
"00:42.441","King Thordan 5 casts  Lightning Storm on Watashia Kamidesu",""
"00:42.441","King Thordan 6 casts  Lightning Storm on Serena Nyx",""
"00:42.441","King Thordan 7 casts  Lightning Storm on Unit Rei",""
"00:44.183","Ser Guerrique casts  Heavy Impact",""
"00:46.060","Ser Guerrique casts  Heavy Impact",""
"00:47.359","King Thordan casts  Ascalon's Mercy Concealed on King Thordan",""
"00:47.939","Ser Guerrique casts  Heavy Impact",""
"00:48.923","King Thordan 9 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 1 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 2 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 3 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 4 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 5 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 6 casts  Ascalon's Mercy Concealed",""
"00:48.923","King Thordan 7 casts  Ascalon's Mercy Concealed",""
"00:49.370","Ser Charibert 1 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 2 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 3 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 4 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 5 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 6 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 7 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.370","Ser Charibert 8 begins casting  Dimensional Collapse  (8.70 sec)",""
"00:49.504","King Thordan casts  unknown_63c4",""
"00:49.818","Ser Guerrique casts  Heavy Impact",""
"00:57.326","Ser Grinnaux 1 casts  Dimensional Collapse on Ser Grinnaux 1",""
"00:57.416","King Thordan casts  the Dragon's Rage on King Thordan",""
"00:58.353","Ser Grinnaux 7 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 5 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 3 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 8 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 4 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 1 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 2 casts  Dimensional Collapse",""
"00:58.353","Ser Grinnaux 6 casts  Dimensional Collapse",""
"00:58.397","Ser Ignasse 1 casts  Skyward Leap on Alexor Cy",""
"00:58.397","Ser Paulecrain 1 casts  Skyward Leap on Unit Rei",""
"00:58.397","Ser Vellguine 1 casts  Skyward Leap on Cleon Vortigern",""
"00:58.756","Ser Janlenoux casts  Holy Shield Bash on Soft Enrage",""
"00:58.756","Ser Adelphel 1 casts  Holy Shield Bash on Serena Nyx",""
"00:58.845","Ser Guerrique casts  the Dragon's Rage",""
"00:59.471","Ser Janlenoux 1 casts  Holy Shield Bash",""
"00:59.471","Ser Adelphel 1 casts  Holy Shield Bash",""
"01:00.858","Ser Janlenoux casts  Holy Bladedance on Ser Janlenoux",""
"01:00.858","Ser Adelphel 1 casts  Holy Bladedance on Ser Adelphel 1",""
"01:01.797","Ser Janlenoux 2 casts  Holy Bladedance on Soft Enrage",""
"01:01.797","Ser Adelphel 2 casts  Holy Bladedance on Serena Nyx",""
"01:01.840","King Thordan casts  unknown_63c4",""
"01:02.153","Ser Hermenost 1 casts  Conviction",""
"01:02.153","Ser Hermenost 2 casts  Conviction",""
"01:02.153","Ser Hermenost 3 casts  Conviction",""
"01:02.153","Ser Hermenost 4 casts  Conviction",""
"01:02.153","Ser Hermenost 5 casts  Conviction",""
"01:02.153","Ser Hermenost 6 casts  Conviction",""
"01:02.241","Ser Janlenoux 2 casts  Holy Bladedance on Soft Enrage",""
"01:02.241","Ser Adelphel 2 casts  Holy Bladedance on Serena Nyx",""
"01:02.730","Ser Janlenoux 2 casts  Holy Bladedance on Soft Enrage",""
"01:02.730","Ser Adelphel 2 casts  Holy Bladedance on Serena Nyx",""
"01:03.179","Ser Janlenoux 2 casts  Holy Bladedance on Soft Enrage",""
"01:09.871","King Thordan casts  Ancient Quaga",""
"01:14.025","King Thordan casts  attack on Serena Nyx",""
"01:20.061","King Thordan casts  Heavenly Heel on Serena Nyx",""
"01:23.187","King Thordan casts  Ascalon's Might on Serena Nyx",""
"01:24.840","King Thordan casts  Ascalon's Might on Serena Nyx",""
"01:26.495","King Thordan casts  Ascalon's Might on Serena Nyx",""
"01:30.066","King Thordan casts  unknown_63c4",""
"01:31.177","King Thordan casts  Knights of the Round on King Thordan",""
"01:38.283","King Thordan casts  Sanctity of the Ward on King Thordan",""
"01:50.886","King Thordan casts  the Dragon's Gaze on King Thordan",""
"01:51.826","Ser Zephirin 1 casts  Sacred Sever",""
"01:51.960","Ser Janlenoux casts  Shining Blade",""
"01:51.960","Ser Adelphel 1 casts  Shining Blade",""
"01:52.050","Ser Hermenost 6 casts  the Dragon's Gaze",""
"01:52.050","Ser Adelphel 2 casts  the Dragon's Glory",""
"01:53.518","Ser Janlenoux casts  Shining Blade",""
"01:53.519","Ser Adelphel 1 casts  Shining Blade",""
"01:53.608","Ser Zephirin 1 casts  Sacred Sever",""
"01:55.078","Ser Janlenoux casts  Shining Blade",""
"01:55.078","Ser Adelphel 1 casts  Shining Blade",""
"01:55.390","Ser Zephirin 1 casts  Sacred Sever",""
"01:57.174","Ser Zephirin 1 casts  Sacred Sever",""
"01:58.021","King Thordan casts  unknown_63c4",""
"02:02.347","Ser Grinnaux 4 begins casting  Heavens' Stake  (7.20 sec)",""
"02:02.347","Ser Grinnaux 1 begins casting  Heavens' Stake  (7.20 sec)",""
"02:02.347","Ser Grinnaux 2 begins casting  Heavens' Stake  (7.20 sec)",""
"02:02.347","Ser Grinnaux 6 begins casting  Heavens' Stake  (7.20 sec)",""
"02:02.347","Ser Janlenoux 1 begins casting  Heavens' Stake on Ser Janlenoux 1 (7.20 sec)",""
"02:09.314","Ser Charibert 1 casts  Heavens' Stake on Ser Charibert 1",""
"02:09.806","Ser Charibert 5 casts  Heavens' Stake",""
"02:09.806","Ser Charibert 6 casts  Heavens' Stake",""
"02:09.806","Ser Charibert 7 casts  Heavens' Stake",""
"02:09.806","Ser Charibert 8 casts  Heavens' Stake",""
"02:09.806","Ser Charibert 9 casts  Heavens' Stake",""
"02:09.985","Ser Grinnaux 7 casts  Hiemal Storm",""
"02:09.985","Ser Grinnaux 5 casts  Hiemal Storm",""
"02:09.985","Ser Grinnaux 3 casts  Hiemal Storm",""
"02:09.985","Ser Grinnaux 8 casts  Hiemal Storm",""
"02:14.236","Ser Hermenost 7 casts  Conviction",""
"02:14.236","Ser Hermenost 1 casts  Conviction",""
"02:14.236","Ser Hermenost 2 casts  Conviction",""
"02:14.236","Ser Hermenost 3 casts  Conviction",""
"02:14.236","Ser Hermenost 4 casts  Conviction",""
"02:14.236","Ser Hermenost 5 casts  Conviction",""
"02:14.236","Ser Hermenost 6 casts  Conviction",""
"02:14.236","Ser Hermenost 8 casts  Conviction",""
"02:15.666","Holy Comet 1 casts  Holy Comet",""
"02:15.666","Holy Comet 2 casts  Holy Comet",""
"02:17.095","Holy Comet 3 casts  Holy Comet",""
"02:17.095","Holy Comet 4 casts  Holy Comet",""
"02:18.526","Holy Comet 5 casts  Holy Comet",""
"02:18.526","Holy Comet 6 casts  Holy Comet",""
"02:19.957","Holy Comet 7 casts  Holy Comet",""
"02:19.957","Holy Comet 8 casts  Holy Comet",""
"02:21.388","Holy Comet 9 casts  Holy Comet",""
"02:21.388","Holy Comet 10 casts  Holy Comet",""
"02:22.821","Holy Comet 11 casts  Holy Comet",""
"02:22.821","Holy Comet 12 casts  Holy Comet",""
"02:24.251","Holy Comet 13 casts  Holy Comet",""
"02:24.251","Holy Comet 14 casts  Holy Comet",""
"02:24.609","Ser Grinnaux 1 casts  Faith Unmoving",""
"02:27.517","Ser Hermenost 7 casts  Conviction",""
"02:27.517","Ser Hermenost 1 casts  Conviction",""
"02:27.517","Ser Hermenost 2 casts  Conviction",""
"02:27.517","Ser Hermenost 3 casts  Conviction",""
"02:27.517","Ser Hermenost 4 casts  Conviction",""
"02:27.517","Ser Hermenost 5 casts  Conviction",""
"02:27.517","Ser Hermenost 6 casts  Conviction",""
"02:27.517","Ser Hermenost 8 casts  Conviction",""
"02:32.082","King Thordan casts  unknown_63bc on King Thordan",""
"02:37.133","King Thordan casts  Ultimate End on King Thordan",""
"02:45.575","Ser Hermenost 8 casts  Ultimate End",""
"02:51.338","King Thordan casts  unknown_63bf",""
"02:58.219","King Thordan casts  Broad Swing on King Thordan",""
"02:59.069","King Thordan 8 casts  Broad Swing",""
"03:00.007","Ser Hermenost 6 casts  Broad Swing",""
"03:07.248","Nidhogg casts  Final Chorus on Nidhogg",""
"03:09.576","King Thordan 8 casts  Final Chorus",""
"03:14.359","Nidhogg casts  attack",""
"03:17.484","Nidhogg casts  attack",""
"03:20.614","Nidhogg casts  attack on Soft Enrage",""
"03:27.720","Nidhogg casts  Dive from Grace",""
"03:37.422","Nidhogg casts  Lash and Gnash on Nidhogg",""
"03:37.557","Nidhogg 1 casts  Dark Spineshatter Dive on Alexor Cy",""
"03:37.557","Nidhogg 2 casts  Dark High Jump on Watashia Kamidesu",""
"03:37.557","Nidhogg 3 casts  Dark Elusive Jump on Alex Sarudani",""
"03:37.691","Nidhogg casts  Eye of the Tyrant",""
"03:41.085","Nidhogg casts  Lashing Wheel",""
"03:44.125","Nidhogg 1 casts  Darkdragon Dive on Eazy Peazy",""
"03:44.125","Nidhogg 2 casts  Darkdragon Dive on Cleon Vortigern",""
"03:44.125","Nidhogg 3 casts  Darkdragon Dive on Unit Rei",""
"03:44.214","Nidhogg casts  Gnashing Wheel",""
"03:47.567","Nidhogg 4 casts  Dark Elusive Jump on Soft Enrage",""
"03:47.567","Nidhogg 5 casts  Dark Spineshatter Dive on Serena Nyx",""
"03:51.226","Nidhogg 1 casts  Geirskogul",""
"03:51.226","Nidhogg 2 casts  Geirskogul",""
"03:51.226","Nidhogg 3 casts  Geirskogul",""
"03:54.131","Nidhogg 4 casts  Darkdragon Dive on Alexor Cy",""
"03:54.131","Nidhogg 5 casts  Darkdragon Dive on Alex Sarudani",""
"03:58.546","Nidhogg 1 casts  Dark High Jump on Unit Rei",""
"03:58.546","Nidhogg 2 casts  Dark High Jump on Eazy Peazy",""
"03:58.546","Nidhogg 3 casts  Dark High Jump on Cleon Vortigern",""
